Ticker,Num_10Day_Windows
MBG,1252
MBS,1252
MCC,841
MCF,1252
MCM,1003
MCO,1252
MCP,1252
MDC,1230
MDG,1113
MED,1047
MEL,1089
MHC,1252
MIC,1195
MIG,1246
MKV,1135
MSB,1007
MSH,1252
MSN,1252
MST,1252
MVB,1177
MWG,1252
NAB,1054
NAF,1252
NAG,1252
NAP,1060
NAV,1252
NBB,1252
NBC,1252
NBP,1152
NBW,1164
NCT,1251
NDN,1252
NDX,1221
NET,1243
NFC,1133
NHA,1246
NHC,1105
NHH,1252
NHT,1218
NKG,1252
NLG,1252
NNC,1250
NO1,526
NRC,1252
NSC,1242
NSH,1252
NST,1184
NT2,1252
NTH,1231
NTL,1252
NTP,1252
NVB,1252
NVL,1252
NVT,1216
OCB,982
OCH,1252
OGC,1252
ONE,1248
OPC,1240
ORS,1247
PAC,1252
PAN,1245
PBP,1246
PC1,1252
PCE,1215
PCG,1206
PCH,611
PCT,1247
PDB,1233
PDN,1247
PDR,1252
PEN,1080
PET,1252
PGC,1252
PGD,1239
PGI,1236
PGN,1250
PGS,1143
PGT,1240
PGV,1244
PHC,1252
PHN,1198
PHR,1252
PIA,1180
PIC,1196
PIT,1243
PJC,1252
PJT,1171
PLC,1252
PLP,1251
PLX,1252
PMB,1237
PMC,1252
PMG,1127
PMP,1161
PMS,1194
PNC,1215
PNJ,1252
POT,1179
POW,1252
PPC,1252
PPE,1096
PPP,1245
PPS,1220
PPT,631
PPY,1252
PRC,1198
PRE,990
PSC,1129
PSD,1252
PSE,1217
PSH,1090
PSI,1252
PSW,1220
PTB,1252
PTC,1252
PTD,979
PTI,1248
PTL,1252
PTS,1182
PTX,824
PV2,1252
PVB,1252
PVC,1252
PVD,1252
PVG,1252
PVI,1252
PVP,1246
PVS,1252
PVT,1252
QCG,1252
QHD,1103
QNP,212
QST,1010
QTC,1171
RAL,1252
RCL,1184
REE,1252
RYG,10
S4A,1252
S55,1081
S99,1252
SAB,1252
SAF,1249
SAM,1252
SAV,1250
SBA,1251
SBG,273
SBT,1252
SBV,1233
SC5,1179
SCG,929
SCI,1252
SCR,1252
SCS,1252
SD5,1252
SD9,1250
SDA,1252
SDC,1197
SDG,1155
SDN,1226
SDU,1068
SEB,1251
SED,1252
SFC,1212
SFG,1246
SFI,1249
SFN,1250
SGC,1190
SGD,1080
SGH,1103
SGN,1252
SGR,1252
SGT,1252
SHA,1243
SHB,1249
SHE,1248
SHI,1252
SHN,1239
SHP,1252
SHS,1252
SIP,1247
SJ1,1172
SJD,1252
SJE,1251
SJS,1252
SKG,1252
SLS,1252
SMA,1180
SMB,1252
SMC,1252
SMN,1241
SMT,1225
SPC,1101
SPI,1133
SPM,1223
SRA,1145
SRC,1201
SRF,1240
SSB,948
SSC,1173
SSI,1252
SSM,1083
ST8,1252
STB,1252
STC,1236
STG,1164
STK,1252
STP,1231
SVC,1223
SVD,979
SVI,1096
SVN,1241
SVT,1242
SZB,1251
SZC,1252
SZL,1252
TA9,1248
TBC,1252
TBX,23
TCB,1252
TCD,1252
TCH,1252
TCI,1243
TCL,1252
TCM,1252
TCO,1252
TCR,1216
TCT,1250
TDC,1252
TDG,1252
TDH,1252
TDM,1252
TDP,1203
TDT,1252
TDW,1178
TEG,1246
TET,502
TFC,1252
THB,1147
THD,1139
THG,1252
THS,1082
THT,1250
TIG,1252
TIP,1252
TIX,1252
TJC,1089
TKU,1127
TLD,1252
TLG,1252
TLH,1252
TMB,1252
TMC,1252
TMP,1247
TMS,1219
TMT,1252
TMX,1141
TN1,1220
TNC,1193
TNG,1252
TNH,998
TNI,1252
TNT,1252
TOT,1198
TPB,1252
TPC,1190
TPH,1220
TPP,1119
TRA,1248
TRC,1252
TSB,1202
TSC,1252
TTA,1075
TTC,1172
TTE,1108
TTF,1252
TTH,1252
TTL,1194
TTT,1188
TV2,1252
TV3,1242
TV4,1243
TVB,1246
TVC,1252
TVD,1252
TVS,1252
TVT,1249
TXM,1252
TYA,1241
UIC,1218
UNI,1241
V12,1139
V21,1228
VAF,1174
VBC,1187
VC1,1135
VC2,1252
VC3,1252
VC6,1192
VC7,1252
VC9,1249
VCA,1206
VCB,1252
VCC,1214
VCF,1241
VCG,1247
VCI,1252
VCM,1219
VCS,1252
VDL,1083
VDP,1248
VDS,1252
VE1,1172
VE3,1136
VE4,1008
VE8,971
VFG,1246
VFS,1124
VGC,1252
VGP,1123
VGS,1252
VHC,1252
VHE,1252
VHL,1173
VHM,1252
VIB,1245
VIC,1252
VID,1249
VIF,1239
VIG,1252
VIP,1252
VIT,1148
VIX,1245
VJC,1252
VLA,1192
VMC,1246
VMD,1248
VMS,1161
VNC,1231
VND,1246
VNE,1252
VNF,1237
VNG,1251
VNL,1252
VNM,1252
VNR,1252
VNS,1252
VNT,1089
VOS,1252
VPB,1252
VPD,1252
VPG,1252
VPH,1252
VPI,1252
VPS,1214
VRC,1252
VRE,1252
VSA,1238
VSC,1252
VSH,1248
VSI,1226
VSM,1196
VTB,1240
VTC,1243
VTH,1086
VTJ,1135
VTO,1252
VTP,1245
VTV,1252
VTZ,777
WCS,1198
WSS,1249
X20,1194
YBM,1190
YEG,1252
