open,high,low,close,volume,daily_return,FEAT_DebtEquity_quarterly,FEAT_PE_quarterly,FEAT_EVEBITDA_quarterly,FEAT_ROE_quarterly,price_mom_5d,price_mom_10d,price_mom_20d,vol_w_mom_5d,vol_w_mom_10d,vol_w_mom_20d,volatility_10d,skewness_20d,rsi_14d,zscore_mom_10d_60w,FUT_RET_10D
8.53,8.53,8.53,8.53,0,0.0,,,,,10.064516129032253,-7.4837310195227875,-10.021097046413507,10.064516129032253,-466.24867861092326,-1223.86235121064,0.05134153816772519,-0.30778010160080455,38.83393533625867,-0.8121973331489685,9.026963657678788
8.53,8.53,8.53,8.53,0,0.0,,,,,10.064516129032253,-7.4837310195227875,-10.021097046413507,10.064516129032253,-466.24867861092326,-1223.86235121064,0.05134153816772519,-0.30778010160080455,38.833935336258676,-0.7882771625511662,16.17819460726848
8.53,8.53,8.53,8.53,0,0.0,,,,,10.064516129032253,-7.4837310195227875,-10.021097046413507,10.064516129032253,-466.24867861092326,-1223.86235121064,0.05134153816772519,-0.30778010160080455,38.833935336258676,-0.7648794954339343,16.17819460726848
8.53,8.53,8.53,8.53,0,0.0,,,,,0.0,-7.4837310195227875,-13.925327951564082,0.0,-466.24867861092326,-1228.398216189543,0.05134153816772519,-0.2628562126673847,38.83393533625867,-0.7419641703638169,16.17819460726848
8.53,8.53,8.53,8.53,0,0.0,,,,,0.0,2.0334928229664984,-16.125860373647992,0.0,-456.92112980398184,-1288.7413039796538,0.04133460867846809,-0.19945107348690894,38.83393533625867,0.8405942337016442,16.17819460726848
9.3,9.3,9.3,9.3,100,0.09026963657678788,,,,,9.026963657678788,20.000000000000018,-8.554572271386418,9.026963657678788,19.09147978671104,-1279.714340321975,0.04032260156729919,0.09485823344096722,59.102455045180086,3.3903283533034774,6.559139784946222
9.3,9.3,9.3,9.3,0,0.0,,,,,9.026963657678788,20.000000000000018,-8.554572271386418,9.026963657678788,19.09147978671104,-1279.714340321975,0.04032260156729919,0.09485823344096718,59.102455045180086,3.062777795933991,6.559139784946222
9.3,9.3,9.3,9.3,0,0.0,,,,,9.026963657678788,20.000000000000018,0.8676789587852562,9.026963657678788,19.09147978671104,-457.2217149532445,0.04032260156729919,0.36387514276364713,59.102455045180086,2.8072121216148065,6.559139784946222
9.3,9.3,9.3,9.3,0,0.0,,,,,9.026963657678788,9.026963657678788,0.8676789587852562,9.026963657678788,9.026963657678788,-457.2217149532445,0.028545765513829476,0.36387514276364724,59.10245504518009,1.366910603696312,6.559139784946222
9.3,9.3,9.3,9.3,0,0.0,,,,,9.026963657678788,9.026963657678788,0.8676789587852562,9.026963657678788,9.026963657678788,-457.2217149532445,0.028545765513829476,0.36387514276364724,59.102455045180086,1.3280040174443017,6.559139784946222
